id,value,feed_id,created_at,lat,lon,ele
0FCS65NYPX7BRJ208H9VZ4VNGC,16.423800,2604535,2023-08-28 06:30:11 UTC,0.0,0.0,0.0
0FCS65W2RMHT9KHFZZ9FGH9MCF,16.926901,2604535,2023-08-28 06:30:31 UTC,0.0,0.0,0.0
0FCS66ECRXAADHTDTK451ES9MS,16.805401,2604535,2023-08-28 06:31:31 UTC,0.0,0.0,0.0
0FCS670P9CD0PR4TJ46ZRG44HZ,16.740299,2604535,2023-08-28 06:32:31 UTC,0.0,0.0,0.0
0FCS67K0Q9RK1VYGN2SC18BFX0,16.677000,2604535,2023-08-28 06:33:31 UTC,0.0,0.0,0.0
0FCS685A07BQFTQR6XB7T37Z86,16.638700,2604535,2023-08-28 06:34:31 UTC,0.0,0.0,0.0
0FCS68QMH8HP6G99F4FQ7BQPRF,16.614401,2604535,2023-08-28 06:35:31 UTC,0.0,0.0,0.0
0FCS699XZZVMBCZ7T3NRNV31E6,16.604700,2604535,2023-08-28 06:36:31 UTC,0.0,0.0,0.0
0FCS69W7ZPF1WYFTNPV9QMWQKW,16.677799,2604535,2023-08-28 06:37:31 UTC,0.0,0.0,0.0
0FCS6AEHT7QTYXYKYYFQAYGXSP,16.648701,2604535,2023-08-28 06:38:31 UTC,0.0,0.0,0.0
0FCS6B0VQZ3ZHSW25C2RXTKZHF,16.666901,2604535,2023-08-28 06:39:31 UTC,0.0,0.0,0.0
0FCS6BK5F7QYYQ5PK1Q1G6S675,23.421499,2604535,2023-08-28 06:40:31 UTC,0.0,0.0,0.0
0FCS6C5FFF9G9N7MQX8XSR3HGX,17.574100,2604535,2023-08-28 06:41:31 UTC,0.0,0.0,0.0
0FCS6CQS6421KV034NQ1YDVYG8,16.619600,2604535,2023-08-28 06:42:31 UTC,0.0,0.0,0.0
0FCS6DA3ECNQXV0SZJHKS14W9J,16.564100,2604535,2023-08-28 06:43:31 UTC,0.0,0.0,0.0
0FCS6DWCTHE8KS83ZPGSC49KY5,16.612101,2604535,2023-08-28 06:44:31 UTC,0.0,0.0,0.0
0FCS6EEQ3VCD6GBESJ33PJJ5JF,16.668501,2604535,2023-08-28 06:45:31 UTC,0.0,0.0,0.0
0FCS6F10QXD1G5MZHFZ8QN4DD8,16.714600,2604535,2023-08-28 06:46:31 UTC,0.0,0.0,0.0
0FCS6FKAWDSA7TDECPCC0PPAC2,16.624399,2604535,2023-08-28 06:47:31 UTC,0.0,0.0,0.0
0FCS6G5MDWRKN3A0WJENB35D46,16.605301,2604535,2023-08-28 06:48:31 UTC,0.0,0.0,0.0
0FCS6GQYQKCWMK1B38V331TWWY,16.682301,2604535,2023-08-28 06:49:31 UTC,0.0,0.0,0.0
0FCS6HA84WASXGJWKR432KSHK1,16.677200,2604535,2023-08-28 06:50:31 UTC,0.0,0.0,0.0
0FCS6HWJHEF3Y398VS5Q4CJ5R8,16.707100,2604535,2023-08-28 06:51:31 UTC,0.0,0.0,0.0
0FCS6JEVW2JDJS0K5TKJMZK4JK,16.664499,2604535,2023-08-28 06:52:31 UTC,0.0,0.0,0.0
0FCS6K166Y8EABMBKPPNRD72B3,16.701799,2604535,2023-08-28 06:53:31 UTC,0.0,0.0,0.0
0FCS6KKFWT4V8WE3P8Z3QW59DQ,16.709600,2604535,2023-08-28 06:54:31 UTC,0.0,0.0,0.0
0FCS6M5T5KMN4353CSVF3S3A0M,16.676500,2604535,2023-08-28 06:55:31 UTC,0.0,0.0,0.0
0FCS6MR3HGSVV6R94Z1FD91P8Z,16.646400,2604535,2023-08-28 06:56:31 UTC,0.0,0.0,0.0
